"","LH-MD9-0000","LH-MD9-0250","LH-MD9-0450","LH-MD9-0700","LH-MD9-0900","LH-MD9-1150","NM-MD9-1849","NM-MD9-2050","NM-MD9-2250","NM-MD9-2450","NM-MD9-2650"
"Acidihalobacter",0,0,0,0,0,0,0,0,234,0,0
"Acinetobacter",0,0,0,0,0,0,0,0,143,0,103
"Actibacterium",0,0,0,0,0,0,0,0,187,0,0
"Actinoplanes",0,111,140,134,128,0,102,0,0,157,0
"Agrococcus",0,0,0,0,0,9828,31928,101000,7582,282,485
"Alcanivorax",0,0,0,0,0,7964,54338,613,37140,0,622
"Algoriphagus",0,0,0,0,0,0,281,1705,2188,0,0
"Aliivibrio",0,0,0,0,0,0,0,0,0,111,0
"Alkalihalobacillus",0,0,0,0,0,0,0,109,0,0,0
"Alteromonas",0,0,0,0,0,373,0,0,0,0,0
"Amphritea",0,0,161,0,0,0,0,0,0,0,0
"Amycolatopsis",0,0,0,0,0,0,0,0,123,144,222
"Anabaenopsis",0,0,0,0,0,110,0,0,0,0,577
"Anaerobacillus",0,0,0,330,115,0,275,166,114,0,0
"Anaeromyxobacter",101,0,0,0,0,0,0,0,0,0,0
"Anderseniella",0,145,123,122,0,151,3021,0,0,0,0
"Arthrobacter",0,158,163,0,0,0,0,674,380,105,134
"Asterias",0,382,0,0,103,263,157,159,499,543,572
"Aurantiacibacter",0,0,0,0,0,0,360,0,0,0,0
"Aurantimonas",0,0,0,0,0,0,0,0,939,0,0
"Aureimonas",116,0,0,0,0,0,0,0,0,0,0
"Aureococcus",0,618,281,578,745,838,568,332,785,1711,938
"Azospirillum",626,244,156,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,187,135,140,639,591,154,113,442
"Bathycoccus",107,1004,685,686,1026,1531,1804,1892,4293,7248,6535
"Betula",0,0,0,0,0,0,0,0,116,104,113
"Bigelowiella",0,0,0,0,0,0,0,0,280,301,146
"Bosea",177,0,0,0,0,0,0,0,0,132,0
"Brachybacterium",0,0,0,0,0,0,0,0,148,0,0
"Bradyrhizobium",888,628,1594,295,243,285,352,221,302,1806,848
"Brevibacterium",0,0,0,0,0,0,0,144,0,0,0
"Brevundimonas",137,0,0,0,0,0,0,0,0,0,0
"Burkholderia",117,0,0,0,0,0,0,0,0,0,0
"Bythopirellula",245,0,151,0,123,142,0,0,0,152,100
"Candidatus Actinomarina",0,0,0,0,0,0,0,0,101,260,119
"Candidatus Aerophobus",0,0,644,315,1360,0,1496,2958,15932,27847,2538
"Candidatus Atelocyanobacterium",0,0,0,0,0,130,0,0,157,189,0
"Candidatus Nitrosomarinus",0,0,0,0,0,0,0,130,213,643,236
"Candidatus Pelagibacter",110,252,210,285,295,484,512,578,1444,2396,1304
"Candidatus Prometheoarchaeum",0,0,255,662,0,0,0,0,0,0,0
"Candidatus Pseudothioglobus",130,749,552,560,831,1247,1244,1569,2712,4350,2518
"Candidatus Reidiella",0,0,0,143,0,0,0,0,0,0,0
"Candidatus Thalassarchaeum",170,1147,1013,606,1813,1855,1345,1994,3611,8619,4246
"Candidatus Thioglobus",0,103,0,0,117,265,299,259,410,959,708
"Carcharodon",0,0,0,0,0,0,0,0,0,108,0
"Carpinus",0,0,0,191,293,0,0,165,314,260,293
"Catellatospora",0,240,214,0,0,0,0,0,0,0,0
"Caulobacter",193,0,0,0,0,0,0,0,0,0,0
"Chaetoceros",0,0,0,0,0,0,136,0,162,139,117
"Chelatococcus",0,0,0,0,0,0,0,280,0,0,0
"Chloroparvula",0,0,0,0,0,0,0,0,0,120,0
"Ciona",0,128,160,197,364,275,0,146,215,226,233
"Clostridium",0,0,0,0,0,0,110,127,112,184,164
"Clupea",0,756,3021,1169,1432,1814,3014,686,1275,3771,1752
"Colwellia",0,0,265,0,0,0,0,0,0,127,100
"Conexibacter",0,0,0,0,0,0,0,0,0,224,116
"Corylus",0,571,502,578,1840,1766,4115,7170,8160,9827,12907
"Corynebacterium",0,0,0,0,0,0,107,268,243,136,206
"Croceicoccus",0,0,0,0,0,0,303,0,0,0,0
"Cupriavidus",137,0,0,0,0,0,0,0,0,0,0
"Cutibacterium",0,0,166,0,0,0,0,0,188,154,418
"Cyanobium",0,0,0,0,0,0,0,0,0,114,0
"Cyclobacterium",0,0,0,0,0,0,0,0,147,0,0
"Cyprideis",0,0,100,0,0,104,0,0,115,260,147
"Cytobacillus",0,0,0,0,0,0,190,256,0,0,0
"Defluviicoccus",125,0,0,0,0,0,0,0,0,0,0
"Desulfobacterium",0,0,0,0,0,0,0,0,0,117,0
"Desulfosarcina",0,0,0,0,105,0,0,0,0,141,0
"Desulfoscipio",0,0,0,0,0,0,0,122,0,0,0
"Desulfosporosinus",0,0,0,0,0,0,0,156,0,188,0
"Desulfuromonas",0,0,0,225,0,0,0,0,0,0,0
"Devosia",109,0,0,0,0,0,0,423,0,0,0
"Dictyocha",0,0,0,0,113,148,112,184,242,301,283
"Dietzia",0,388,231,0,629,0,38687,85004,67539,652,7707
"Dinoroseobacter",0,0,0,0,0,0,103,0,187,0,0
"Draconibacterium",0,0,0,472,0,0,0,0,0,0,0
"Dryopteris",0,0,0,0,0,0,0,0,0,116,189
"Durio",0,0,0,0,0,114,275,582,1286,783,417
"Echinicola",0,0,0,0,0,0,0,0,384,0,0
"Emiliania",0,0,0,111,0,113,0,0,0,405,0
"Ensifer",117,0,0,0,0,0,0,0,0,0,0
"Erythrobacter",0,0,0,0,0,0,339,0,291,0,0
"Exophiala",0,0,0,0,0,0,0,0,0,102,0
"Fagus",0,210,247,490,955,1231,0,0,0,0,0
"Fictibacillus",0,0,0,0,0,161,266,247,101,0,128
"Filomicrobium",0,0,0,0,0,0,0,0,0,135,158
"Flavobacterium",0,0,0,0,0,0,0,0,135,179,127
"Florenciella",0,0,0,0,0,0,0,0,124,245,120
"Formosa",0,0,0,124,0,133,0,171,636,1015,538
"Frankia",0,0,0,0,0,0,0,0,0,107,220
"Gadus",0,322,175,105,265,216,197,158,269,361,226
"Geodermatophilus",0,0,0,130,269,130,112,0,146,0,210
"Gimesia",117,166,0,0,0,0,0,0,0,0,0
"Glycocaulis",0,0,0,0,0,0,0,0,0,125,0
"Gordonia",0,0,0,0,0,0,173,175,387,200,361
"Haladaptatus",0,112,156,121,317,330,0,0,0,0,228
"Halioxenophilus",0,0,0,0,0,192,0,0,0,0,0
"Halohasta",0,0,0,0,0,0,0,0,0,0,128
"Halomicroarcula",0,0,0,0,0,0,0,0,0,0,154
"Halomonas",209,0,0,0,0,184,437,0,12586,157,160
"Halopseudomonas",0,0,279,0,0,0,0,0,706,0,0
"Halorubrum",0,0,0,0,0,0,0,0,105,192,553
"Homo",0,0,0,0,0,0,0,0,182,0,0
"Humibacter",0,0,0,0,0,0,0,150,0,0,0
"Hungatella",0,0,0,0,0,0,0,0,233,0,0
"Hydrogenovibrio",0,0,0,0,0,0,26824,279,56918,59498,0
"Hypericibacter",528,171,105,0,0,0,0,0,0,0,0
"Hyphomonas",0,0,658,0,0,0,7090,8485,0,10859,0
"Ignavibacterium",364,0,0,0,0,0,0,0,0,100,0
"Ilumatobacter",0,0,0,165,0,0,0,0,0,129,0
"Janibacter",0,0,0,15058,194,0,2473,213561,63010,18986,7159
"Kaustia",122,0,0,0,0,0,0,0,0,0,0
"Kocuria",0,0,0,0,0,0,0,124,0,0,0
"Lignipirellula",126,0,0,0,0,0,0,0,0,0,0
"Lolium",0,0,0,0,162,129,0,200,260,455,485
"Loxodonta",0,0,0,0,0,0,0,0,0,0,282
"Luteitalea",105,0,0,0,0,0,0,0,0,0,0
"Lutibacter",0,0,0,290,0,0,0,0,0,0,0
"Lysobacter",118,0,0,0,0,0,0,0,0,0,0
"Magnetospirillum",254,0,0,0,0,0,0,0,0,0,0
"Malus",0,0,0,0,0,0,0,0,470,236,327
"Maribacter",0,134,754,0,0,0,0,0,0,0,0
"Marinobacter",0,311,1266,0,0,13650,359,0,3672,0,0
"Mariprofundus",0,0,0,171,0,0,0,0,0,0,0
"Membranipora",0,0,0,0,0,0,0,0,103,0,0
"Mesorhizobium",572,436,1055,182,120,183,221,140,261,1120,791
"Methanococcoides",0,0,0,0,0,0,0,0,0,111,0
"Methanoculleus",0,0,0,105,0,1514,0,0,0,0,165
"Methanosarcina",0,245,249,113,225,558,0,0,135,343,646
"Methylobacterium",337,107,0,0,0,0,0,0,0,124,0
"Methyloceanibacter",230,642,698,647,904,902,674,973,1205,2405,1693
"Methyloligella",0,0,0,0,0,0,0,0,0,119,103
"Methylophaga",0,0,0,3294,0,0,212,0,0,0,0
"Methylosinus",0,0,0,0,0,0,0,0,0,0,101
"Microbacterium",0,0,0,0,0,0,0,13373,2368,211,114
"Microbulbifer",0,0,0,0,0,0,0,0,121,241,127
"Microcella",0,0,0,0,0,0,0,1467,205,0,0
"Micromonas",0,118,0,114,120,160,159,161,338,507,396
"Micromonospora",127,9174,10883,11341,12664,5089,9641,6610,195,17223,301
"Microvirga",159,0,0,0,0,0,0,0,0,0,0
"Miltoncostaea",0,0,0,0,0,113,0,0,0,272,197
"Mycobacterium",233,1267,1155,1221,1953,2579,2228,2999,3943,4122,7620
"Mycobacteroides",0,263,304,214,385,351,539,1042,2072,3551,4149
"Mycolicibacillus",0,0,0,0,0,0,0,0,0,0,123
"Mycolicibacter",0,0,0,0,138,172,177,250,321,317,616
"Mycolicibacterium",273,1333,1255,1459,2492,2889,2723,3821,5025,5157,9503
"Nannochloropsis",0,0,0,0,0,0,0,0,106,226,0
"Natrinema",0,0,0,0,128,130,0,0,0,0,0
"Neobacillus",0,0,0,0,0,0,132,179,0,0,0
"Neomicrococcus",0,0,0,0,0,0,0,0,2116,0,0
"Nicotiana",0,0,0,0,0,0,0,0,0,131,0
"Nisaea",155,0,0,0,0,0,0,0,0,0,0
"Nitratireductor",110,0,0,0,0,0,0,0,0,0,0
"Nitrosarchaeum",0,0,0,0,0,0,0,0,100,392,150
"Nitrosopumilus",12077,1020,944,621,1676,2822,1409,1967,2744,7571,3374
"Nitrospira",1036,0,0,0,0,0,0,0,0,235,173
"Nocardia",0,133,119,0,159,207,172,247,286,387,751
"Nocardioides",139,418,375,320,295,286,257,1052,2173,291,305
"Nocardiopsis",0,0,0,0,0,0,0,43927,43726,0,26892
"Nodularia",0,0,0,0,0,0,0,0,0,0,103
"Oceanispirochaeta",0,0,0,189,0,0,0,0,0,0,0
"Octopus",0,0,0,0,0,0,0,0,0,123,0
"Oikopleura",0,210,0,104,153,147,102,158,334,516,326
"Oncorhynchus",0,122,0,160,165,192,104,158,381,437,267
"Oryza",0,0,0,0,0,0,0,0,0,0,101
"Ostrea",0,0,0,0,0,0,0,162,144,142,0
"Pacificitalea",0,0,0,0,0,0,333,0,0,0,0
"Paenibacillus",0,107,110,100,276,311,1301,1010,645,266,856
"Paenisporosarcina",0,267,258,0,105,0,0,0,0,0,0
"Panicum",0,0,0,0,0,0,0,0,0,108,221
"Pannonibacter",0,0,0,0,0,0,386,0,0,0,0
"Paraburkholderia",103,0,0,0,0,0,0,0,0,0,0
"Paracoccus",242,109,116,108,0,0,0,103,1499,119,114
"Parasedimentitalea",0,0,1026,0,0,0,0,0,0,0,0
"Parasphingorhabdus",0,0,0,0,0,0,0,2807,0,0,0
"Patella",0,0,0,0,0,0,0,0,0,0,118
"Penaeus",0,0,0,0,101,103,104,179,246,332,199
"Penicillium",0,0,0,0,0,369,0,0,0,0,1024
"Peribacillus",0,0,0,0,0,0,170,229,178,163,432
"Phaeobacter",0,0,0,0,0,0,461,100,319,0,0
"Phaeocystis",0,0,0,0,0,0,0,0,162,264,103
"Phreatobacter",121,0,0,0,0,0,0,0,0,0,0
"Phytohabitans",0,0,0,0,0,0,0,0,0,103,0
"Picochlorum",0,0,0,113,486,454,366,795,1065,1443,265
"Pinus",0,0,0,0,0,0,0,0,0,0,429
"Planktomarina",0,224,137,354,223,221,217,345,1232,1416,1453
"Plantactinospora",0,264,241,298,243,102,163,109,0,320,0
"Pleurosigma",0,0,0,0,0,0,0,0,0,110,0
"Polaribacter",0,0,0,139,0,135,366,304,489,639,583
"Polycladomyces",0,0,0,0,0,0,0,0,0,147,179
"Polygonum",0,139,0,0,0,0,0,0,0,0,129
"Polymorphospora",0,138,208,131,323,0,113,0,0,215,0
"Pontibrevibacter",0,0,0,0,0,0,213,0,0,0,0
"Populus",0,177,787,138,491,728,606,1396,3011,2858,3019
"Potentilla",0,0,0,0,0,142,0,176,0,231,0
"Prasinovirus",0,210,230,152,246,488,406,518,793,1862,1133
"Priapulus",0,466,691,4091,301,381,112,109,136,395,153
"Propionibacterium",0,0,0,0,0,0,0,269,0,0,0
"Prunus",0,0,0,0,0,0,0,144,233,195,193
"Pseudo-nitzschia",0,0,0,0,0,0,0,0,215,216,184
"Pseudogymnoascus",0,0,0,0,0,0,0,847,3109,0,1475
"Pseudohalocynthiibacter",0,0,0,0,0,0,0,0,19571,0,0
"Pseudomonas",356,150,257,175,128,155,103,549,447,263,262
"Pseudonocardia",0,0,0,0,0,0,0,487,2857,0,8672
"Pseudopedinella",0,114,0,0,0,0,0,0,0,0,0
"Pseudosulfitobacter",0,0,0,0,0,0,435,212,1442,0,0
"Pycnococcus",437,3715,2241,3049,3975,5427,1878,3324,1398,3400,1525
"Qipengyuania",0,0,0,0,0,0,13003,0,1005,0,0
"Quercus",0,0,0,214,219,292,491,493,640,643,430
"Ralstonia",0,0,134,0,0,0,0,0,0,0,0
"Reinekea",0,0,0,0,0,162,0,0,0,0,0
"Rhizobium",234,104,142,102,0,0,0,0,275,172,115
"Rhizosolenia",0,0,0,239,0,0,0,161,498,344,204
"Rhodococcus",0,365,268,206,262,237,502,2161,1804,558,938
"Rhodospirillum",166,0,0,0,0,0,0,0,0,0,0
"Rosa",0,0,0,0,0,0,0,362,720,0,174
"Roseibium",0,0,0,0,0,0,0,329,0,0,0
"Roseomonas",187,0,0,0,0,0,0,0,0,0,0
"Roseovarius",0,0,0,0,0,0,850,195,215,0,0
"Ruegeria",0,0,0,0,0,0,0,0,136,0,0
"Saccharopolyspora",0,256,251,335,186,229,0,0,0,0,0
"Salegentibacter",0,0,0,0,0,0,0,0,1093,0,1922
"Salinispora",0,0,0,0,153,0,0,0,0,0,0
"Salipiger",0,0,0,0,0,0,0,100,136,0,0
"Salvia",0,309,326,169,657,640,585,913,1683,1939,1918
"Sandaracinus",0,100,0,101,0,0,0,0,0,0,0
"Shewanella",0,0,910,102,0,0,0,0,0,133,107
"Skeletonema",0,0,0,0,0,0,0,168,200,376,379
"Skermanella",301,0,0,0,0,0,0,0,0,0,0
"Sneathiella",0,0,431,136,0,0,0,0,0,0,0
"Sorghum",0,0,0,0,0,0,0,0,0,0,126
"Sphingobacterium",0,0,0,0,0,0,0,0,187,231,186
"Sphingobium",102,0,0,0,0,0,0,0,0,0,0
"Sphingomonas",454,156,146,147,0,0,0,0,110,173,133
"Sphingopyxis",0,0,0,0,0,0,164,0,401,0,0
"Sphingorhabdus",0,0,0,123,0,0,273,422,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,184,957,0,0
"Stappia",106,0,588,0,0,0,3398,6477,488,7289,460
"Stella",565,153,125,0,0,0,0,0,0,0,0
"Steromphala",0,0,0,0,0,0,0,0,116,0,0
"Stieleria",112,0,0,0,0,0,0,0,0,0,0
"Streptomyces",389,797,625,553,755,760,465,656,3717,1158,1670
"Streptosporangium",0,303,299,167,348,315,0,143,119,266,460
"Stuckenia",0,0,0,0,0,0,0,550,141,322,406
"Stutzerimonas",0,0,0,112,0,0,0,24373,0,115,0
"Sulfitobacter",120,293,782,466,374,301,209372,11392,36059,351,805
"Sulfuriflexus",0,0,0,0,147,0,133,0,0,0,0
"Sulfurimonas",0,132,0,0,0,0,0,0,0,0,0
"Sulfurovum",0,0,0,0,244,0,0,0,0,0,0
"Symmachiella",143,137,149,0,0,0,0,0,0,0,0
"Synechococcus",115,2710,1433,2041,1864,2929,2488,3429,8601,13815,10538
"Teleaulax",0,145,0,0,116,0,100,172,200,330,189
"Thalassiosira",0,0,0,0,0,119,142,251,458,944,490
"Thalassolituus",0,0,0,0,0,215,152,0,0,0,0
"Theobroma",0,0,0,0,0,0,0,0,137,0,0
"Thermobispora",0,257,109,0,0,135,0,0,0,0,0
"Thermomonospora",0,104,0,0,0,0,0,0,0,0,0
"Thiohalobacter",0,325,0,0,0,0,0,0,0,0,0
"Tilia",0,0,0,0,0,0,0,0,109,0,0
"Tritonibacter",0,0,0,0,0,0,0,118,0,0,0
"Tsuneonella",0,0,0,0,0,0,103,0,0,0,0
"Variovorax",101,0,0,0,0,0,0,0,0,0,0
"Verrucosispora",0,0,0,0,107,0,0,0,0,130,0
"Vibrio",0,189,228,933,195,195,138,182,303,468,229
"Winogradskyella",0,0,0,0,0,0,0,0,131,133,0
"Zostera",0,2049,1766,1495,2116,3565,1687,2122,5506,7966,5962
"Zymomonas",0,0,0,0,0,0,0,128,0,0,0
